epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.951,1.31424,2.24046,1.2402,0.70525,0.08642,0.28754,0.15641,1.03883,2.66733,1.11473,0.00054,0.00054,0.00054
2,241.684,1.35148,1.70315,1.2889,0.89956,0.11059,0.23862,0.12316,1.54194,2.91087,1.54882,0.0009911,0.0009911,0.0009911
3,357.42,1.43614,1.68823,1.29498,0.27304,0.22222,0.1371,0.05792,1.76968,2.57505,1.81914,0.00133132,0.00133132,0.00133132
4,469.648,1.45323,1.56076,1.32714,0.4668,0.35802,0.32364,0.17596,1.49886,2.19621,1.47379,0.001406,0.001406,0.001406
5,588.256,1.41132,1.52822,1.31857,0.51123,0.41358,0.3961,0.21536,1.4332,1.94221,1.4669,0.001208,0.001208,0.001208
6,699.557,1.32296,1.39917,1.25337,0.60031,0.50992,0.47344,0.26556,1.3841,1.68967,1.41286,0.00101,0.00101,0.00101
7,812.132,1.27133,1.35792,1.25115,0.53034,0.45062,0.43404,0.2658,1.33881,1.92782,1.38714,0.000812,0.000812,0.000812
8,927.237,1.21747,1.24034,1.18219,0.57137,0.53086,0.4511,0.28901,1.1462,1.64256,1.18866,0.000614,0.000614,0.000614
9,1034.5,1.11813,1.16532,1.15057,0.6825,0.53704,0.59798,0.38531,1.11991,1.43676,1.18671,0.000416,0.000416,0.000416
10,1145.35,1.06793,1.10794,1.12052,0.64858,0.56964,0.59761,0.39135,1.07024,1.44374,1.208,0.000218,0.000218,0.000218
